,Quoc Gia,Dan So,Ti Le Sinh,% Dan So
0,China,1439323776,1.7,0.18469999999999998
1,India,1380004385,2.2,0.177
2,United States,331002651,1.8,0.0425
3,Indonesia,273523615,2.3,0.0351
4,Pakistan,220892340,3.6,0.028300000000000002
5,Brazil,212559417,1.7,0.0273
6,Nigeria,206139589,5.4,0.0264
7,Bangladesh,164689383,2.1,0.021099999999999997
8,Russia,145934462,1.8,0.0187
9,Mexico,128932753,2.1,0.0165
10,Japan,126476461,1.4,0.016200000000000003
11,Ethiopia,114963588,4.3,0.0147
12,Philippines,109581078,2.6,0.0141
13,Egypt,102334404,3.3,0.0131
14,Vietnam,97338579,2.1,0.0125
15,DR Congo,89561403,6.0,0.0115
16,Turkey,84339067,2.1,0.0108
17,Iran,83992949,2.2,0.0108
18,Germany,83783942,1.6,0.010700000000000001
19,Thailand,69799978,1.5,0.009000000000000001
20,United Kingdom,67886011,1.8,0.0087
21,France,65273511,1.9,0.0084
22,Italy,60461826,1.3,0.0078000000000000005
23,Tanzania,59734218,4.9,0.0077
24,South Africa,59308690,2.4,0.0076
25,Myanmar,54409800,2.2,0.006999999999999999
26,Kenya,53771296,3.5,0.0069
27,South Korea,51269185,1.1,0.0066
28,Colombia,50882891,1.8,0.006500000000000001
29,Spain,46754778,1.3,0.006
30,Uganda,45741007,5.0,0.0059
31,Argentina,45195774,2.3,0.0058
32,Algeria,43851044,3.1,0.005600000000000001
33,Sudan,43849260,4.4,0.005600000000000001
34,Ukraine,43733762,1.4,0.005600000000000001
35,Iraq,40222493,3.7,0.0052
36,Afghanistan,38928346,4.6,0.005
37,Poland,37846611,1.4,0.0049
38,Canada,37742154,1.5,0.0048
39,Morocco,36910560,2.4,0.004699999999999999
40,Saudi Arabia,34813871,2.3,0.0045000000000000005
41,Uzbekistan,33469203,2.4,0.0043
42,Peru,32971854,2.3,0.0042
43,Angola,32866272,5.6,0.0042
44,Malaysia,32365999,2.0,0.0042
45,Mozambique,31255435,4.9,0.004
46,Ghana,31072940,3.9,0.004
47,Yemen,29825964,3.8,0.0038
48,Nepal,29136808,1.9,0.0037
49,Venezuela,28435940,2.3,0.0036
50,Madagascar,27691018,4.1,0.0036
